,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,deposit,tenencia_ahorros,tenencia_corriente,tenencia_cdt,tenencia_tdc,tenencia_lb,tenencia_vehiculo,ingresos,egresos,saldo_captacion,saldo_tdc,monto_trx_tdc,cantidad_trx_tdc,saldo_lb,saldo_veh,monto_trx_debito,cantidad_trx_debito
255,26,admin.,married,secondary,0,808.7303609,1,1,unknown,1306.782842,2,-1,0,unknown,1,1,1,1,1,1,1,3280.360862,3051.831513,12661.24682,6965.430755,1108.591174,21.68379975,42981.11444,105481.6702,6248.690727,24.88602302
3124,28,admin.,single,unknown,0,,1,1,cellular,289.8054908,3,142,6,success,1,,0,0,1,1,1,3439.248846,3065.786619,9843.672164,10103.27587,-722.1506184,,55386.81902,108854.7294,-1603.077394,29.63725679
5990,48,admin.,single,secondary,0,467.1957787,1,1,unknown,571.4198277,3,-1,0,unknown,0,1,0,0,1,1,1,2572.843554,2462.805226,15617.88892,13255.03357,2742.755771,27.27596566,-333.0182374,50972.31829,-1120.281419,47.37067344
6066,31,admin.,single,unknown,0,-261.6725161,1,1,unknown,249.1408079,5,-1,0,unknown,0,1,0,0,1,1,1,661.9401128,,14006.45699,8656.416179,2030.049344,12.98695566,25406.93981,49246.47807,2355.165592,
7170,32,admin.,divorced,secondary,0,1695.013083,1,1,unknown,130.4662919,1,-1,0,unknown,0,,1,0,1,1,1,,5692.352045,12722.50299,12708.62391,1188.717769,17.70046723,40470.48051,55172.01019,5267.538885,-12.1900385
7553,36,admin.,married,unknown,0,1998.827154,1,1,cellular,181.2940273,2,174,3,failure,0,1,0,,1,1,1,3581.241119,3160.551871,,2793.387934,601.3879519,31.19053709,30489.2182,61181.98491,2655.143585,24.31978737
0,59,admin.,married,secondary,0,2408.07483,1,0,unknown,1048.25804,1,-1,0,unknown,1,1,,0,1,1,1,4706.02821,4373.754458,3182.976484,8770.261941,1800.541838,31.64439236,37428.16986,40855.61994,4004.988678,26.80678509
1817,29,admin.,single,secondary,0,66.43250461,1,0,cellular,772.6916407,1,-1,0,unknown,1,1,0,1,1,1,1,1273.291445,1046.982579,9646.622726,18875.16689,762.8635872,30.27125822,37385.04834,83491.53559,2295.500307,-4.792414648
1936,48,admin.,unknown,secondary,0,158.1695024,1,0,cellular,1128.117361,1,-1,0,unknown,1,1,0,0,1,1,1,3384.802007,,9805.807153,,1253.888547,-10.94871201,46851.18243,95080.30835,4677.966828,36.01103886
2055,33,admin.,single,secondary,0,,1,0,cellular,841.329552,1,-1,0,unknown,1,0,1,1,1,1,1,5682.484301,5408.996467,8902.510015,9554.191411,-262.1959536,44.57174199,36572.49521,57883.99204,4770.282329,56.38372157
2990,44,admin.,unknown,secondary,0,797.6555444,1,0,cellular,385.6289293,2,105,5,success,1,1,0,0,1,1,1,4633.607487,4494.632371,11150.17698,114.7938048,3116.716132,19.98414053,44087.53116,45874.95584,3977.036293,25.23644993
4776,49,admin.,single,tertiary,0,217.3339635,1,0,cellular,398.0095294,1,-1,0,unknown,1,1,1,0,1,1,1,1437.247736,1132.508891,13752.30486,11089.18903,360.6313614,-8.322400635,36769.26024,65223.71895,-1044.402432,10.79326883
4911,34,admin.,married,unknown,0,88.81387962,1,0,cellular,1832.375645,2,287,3,other,1,1,0,1,1,1,,3298.796542,2957.304076,13754.76739,-7726.069815,2090.284548,,35798.08718,71481.44612,2387.591975,40.31461404
5292,34,admin.,single,secondary,0,728.5968417,1,0,cellular,121.7508776,1,260,2,failure,0,1,0,0,1,1,1,5019.606843,4794.449523,,8472.152299,1325.270422,15.86564375,27015.02724,91625.54942,3373.122782,43.54814603
5891,31,admin.,single,unknown,0,665.6843897,1,0,unknown,228.213178,1,-1,0,unknown,0,1,0,0,1,1,1,674.7223991,,9808.835171,7939.46139,,-4.337238712,26224.88689,29342.46832,2312.292649,
6528,31,admin.,married,secondary,0,418.9784364,1,0,cellular,421.7286034,5,361,3,other,0,1,0,0,1,1,1,1952.05933,1770.722154,11585.41266,10298.16122,1281.829585,4.825346731,51808.76372,91399.69583,3065.229093,15.69973572
7959,36,admin.,married,secondary,0,359.784206,1,0,cellular,212.2854098,9,-1,0,unknown,0,1,0,0,1,1,1,2569.939076,2362.760558,11304.16305,5228.90297,777.5704881,19.86269618,20996.62004,63855.63388,4585.613732,
8185,42,admin.,married,secondary,0,585.397019,1,0,unknown,200.3704415,2,-1,0,unknown,0,1,0,0,,1,1,3792.263331,3550.642029,16118.52828,,3291.362768,40.24034737,29994.37487,-8175.457395,3093.134597,24.95750666
8347,37,admin.,married,secondary,0,1329.947624,1,0,unknown,243.3021853,1,-1,0,unknown,0,1,0,0,1,1,1,,3435.545403,12209.65271,3217.616606,2320.66039,12.98620988,1778.836993,57195.65347,2796.508255,25.59368172
9443,32,admin.,married,tertiary,0,46.995343,1,0,unknown,153.948422,1,-1,0,unknown,0,1,0,0,1,1,1,2391.553775,2115.025845,8741.641053,6447.827383,71.30966419,26.32727889,26093.00912,41886.33273,2799.689533,-9.197221078
9654,30,admin.,married,secondary,0,,1,0,cellular,128.3878933,3,-1,0,unknown,0,0,1,0,1,1,1,,632.303578,,,1177.751878,12.28337971,55582.25277,97280.79915,1005.946345,
9897,32,admin.,married,secondary,0,1725.85634,1,0,cellular,104.8086943,1,209,2,failure,0,,0,0,1,1,1,2360.624517,2071.993261,5448.173076,8447.109455,-299.016018,52.17789667,29455.78067,24368.35485,,25.49047507
10101,34,admin.,unknown,secondary,0,3300.720992,1,0,unknown,582.3326965,1,-1,0,unknown,0,1,0,0,1,1,1,,4564.293573,7536.229665,11898.46814,2071.264471,11.9427987,16610.2999,56907.48326,7381.399458,31.45981403
5954,30,admin.,single,unknown,0,,0,1,cellular,151.0724532,3,101,1,success,0,1,0,0,1,1,1,4143.999324,3784.734736,6705.683901,19123.67064,503.3473187,19.92832459,42919.32773,22405.0779,5222.113397,-15.61503298
8593,41,admin.,married,secondary,0,153.1308371,0,1,cellular,517.6351168,1,-1,0,unknown,0,1,0,,1,1,1,3874.593377,3553.832704,14767.53492,8962.080738,2630.52193,20.56847931,24313.20584,74076.7447,1875.389138,1.469191999
9638,35,admin.,unknown,secondary,0,904.1793432,0,1,unknown,129.1349415,4,-1,0,unknown,0,1,0,1,1,1,1,,2725.614426,,7867.923175,1504.021453,5.253327789,23429.18239,25847.15688,-521.3771208,14.10086477
10399,35,admin.,unknown,tertiary,0,,0,1,cellular,115.2145547,1,-1,0,unknown,0,1,0,1,1,1,,3332.798127,3044.09447,11358.57686,13965.18647,,12.23268438,28047.07188,44718.3233,1218.888832,14.25757456
10464,44,admin.,married,unknown,0,56.42653804,0,1,unknown,174.2832597,2,-1,0,unknown,0,1,1,0,1,1,1,4643.518463,4283.076527,12372.72862,-7429.548831,1624.424987,37.76816327,37575.80628,54432.53984,761.7692029,12.22268874
